"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
100,100.103637695312
103.495249706417,103.201431274414
107.112667117937,106.744132995605
110.856522300912,110.446212768555
114.731234571179,114.247291564941
118.741377710697,118.326950073242
122.891685366526,122.463798522949
127.187056638511,126.774513244629
131.632561862269,131.094360351562
136.23344859431,135.741882324219
140.995147806344,140.510482788086
145.923280296108,145.367736816406
151.023663322253,150.566421508789
156.302317471144,155.749633789062
161.765473763678,161.275588989258
167.419581010487,166.865982055664
173.271313424241,172.679992675781
179.327578498007,188.647247314453
185.595525158984,184.91650390625
192.082552207227,191.324005126953
198.796317049329,198.104202270508
205.744744737364,204.899063110352
212.936037323766,212.262847900391
220.378683543182,219.796157836914
228.081468832731,227.380065917969
236.053485702499,235.294250488281
244.304144468503,243.470169067383
252.843184360804,251.858383178711
261.680685019871,260.840850830078
270.827078394779,269.743896484375
280.293161057271,279.523712158203
290.090106946233,289.063598632812
300.229480557617,299.081878662109
310.723250595385,309.524169921875
321.58380409959,320.338684082031
332.823961068267,331.549774169922
344.456989590392,343.143127441406
356.496621507784,355.455535888672
368.957068624422,367.590270996094
381.853039482323,380.333404541016
395.199756723774,393.792327880859
409.012975060424,407.412689208984
423.308999870432,421.565887451172
438.104706445641,436.556121826172
453.417559911483,451.826049804687
469.265635843133,467.514556884766
485.667641602258,483.88525390625
502.642938419524,500.891448974609
520.21156424896,518.397094726563
538.39425742112,536.518127441406
557.212481123,555.058288574219
576.688448733571,574.506164550781
596.845150044874,594.682434082031
617.706378399583,615.267456054687
639.296758777116,636.820373535156
661.641776861408,659.236083984375
684.76780912469,682.106018066406
708.702153962761,706.170288085937
733.473063918517,730.576354980469
759.109779031779,756.522216796875
785.642561354772,782.788024902344
813.102730674014,810.252380371094
841.522701480769,838.424438476562
870.93602123371,867.776245117187
901.377409958964,897.624328613281
932.882801234266,929.222717285156
965.489384605624,961.656555175781
999.235649486542,995.442565917969
1034.16143059164,1030.03784179687
1070.30795495827,1066.04174804687
1107.71789061171,1103.73559570312
1146.43539693125,1142.05249023437
1186.50617677675,1182.84387207031
1227.97753043717,1223.17248535156
1270.89841146464,1266.27734375
1315.31948446022,1310.41772460937
1361.29318487927,1355.95422363281
1408.87378092724,1403.85314941406
1458.11743761889,1452.53894042969
1509.08228307648,1503.09509277344
1561.8284771453,1556.20886230469
1616.41828240747,1610.52587890625
1672.91613767779,1666.4267578125
1731.38873406858,1724.533203125
1791.90509371305,1785.45520019531
1854.53665124034,1847.17797851562
1919.35733809821,1912.42309570312
1986.44366982319,1988.24853515625
2055.87483636083,2038.86706542969
2127.73279554304,2080.89916992187
2202.1023698326,2165.86401367187
2279.07134644918,383.320709228516
2358.73058099499,148.979034423828
2441.17410470239,86.8466262817383
2526.49923543014,2535.76904296875
2614.80669253914,2335.89526367187
2706.2007157835,2677.49047851562
2800.78918835698,2790.46606445312
2898.6837642404,446.014434814453
